Country,Downloads
United States,13675
United Kingdom,2044
Germany,1262
India,1188
China,1149
Canada,1039
Australia,950
Philippines,713
Singapore,704
Netherlands,686
"Korea, Republic Of",579
France,497
Hong Kong,451
Japan,417
Turkey,400
Italy,388
Brazil,374
Indonesia,369
Taiwan,349
Malaysia,289
Spain,284
Russian Federation,254
Poland,220
Switzerland,215
Ireland,201
Sweden,187
South Africa,183
Finland,171
Belgium,169
Thailand,162
Viet Nam,160
Romania,155
Portugal,154
Greece,153
New Zealand,149
Norway,139
Austria,138
Israel,138
Argentina,134
Mexico,132
Pakistan,131
Kenya,114
Egypt,103
"Iran, Islamic Republic Of",103
Saudi Arabia,95
Denmark,88
United Arab Emirates,87
Czech Republic,82
Hungary,77
Ukraine,73
Bangladesh,72
Sri Lanka,71
Colombia,70
Nigeria,61
Morocco,59
Peru,56
Lithuania,52
Chile,48
Croatia,48
Nepal,45
Serbia,42
Kazakhstan,38
Tunisia,35
Slovakia,32
Bulgaria,28
Slovenia,28
Jordan,27
Lebanon,27
Algeria,26
Malta,24
Ecuador,22
Cyprus,21
Iraq,21
Jamaica,21
"Macedonia, The Former Yugoslav Republic Of",19
Costa Rica,17
Estonia,17
Bahrain,16
Qatar,16
Uganda,15
"Venezuela, Bolivarian Republic Of",15
Ghana,14
Kuwait,14
Ethiopia,13
Luxembourg,13
Latvia,12
Macao,12
Puerto Rico,12
Bosnia & Herzegovina,11
"Bolivia, Plurinational State Of",11
Dominican Republic,11
Moldova,11
Oman,10
Uzbekistan,10
Zimbabwe,10
Trinidad And Tobago,9
Georgia,8
Iceland,7
Cambodia,7
Uruguay,7
Barbados,6
Brunei Darussalam,6
Guam,6
Myanmar,6
Mauritius,6
Namibia,6
Azerbaijan,5
Bahamas,5
Guatemala,5
Panama,5
Palestinian Territories,5
Paraguay,5
Armenia,4
Belarus,4
Cameroon,4
Saint Kitts And Nevis,4
Malawi,4
Seychelles,4
Somalia,4
"Tanzania, United Republic Of",4
Albania,3
Botswana,3
Honduras,3
Kyrgyzstan,3
Papua New Guinea,3
Rwanda,3
Sudan,3
Burkina Faso,2
Bhutan,2
Curacao,2
Jersey,2
Cayman Islands,2
Liechtenstein,2
Syrian Arab Republic,2
Zambia,2
Andorra,1
Afghanistan,1
Antigua And Barbuda,1
Angola,1
Aruba,1
Bermuda,1
Belize,1
Cuba,1
Fiji,1
Guyana,1
Isle Of Man,1
Lesotho,1
Libya,1
Monaco,1
Mongolia,1
Mozambique,1
New Caledonia,1
Reunion,1
Solomon Islands,1
El Salvador,1
Turks And Caicos Islands,1
Togo,1
