Name,Type,Downloads
Kenyon College,Education,2059
HT,Commercial,137
Stanford University,Education,49
Chinese Academy of Social Sciences,Education,49
Taiwan Academic Network,Education,40
University of Maryland,Education,32
New York University,Education,27
Stichting Duwo,Commercial,27
Ministry of Education Computer Center,Education,25
NUS,Education,24
The University of Melbourne,Education,24
University of Florida,Education,23
China Education and Research Network,Education,23
Carnegie Mellon University,Education,21
University of California at Berkeley,Education,21
University of Arizona,Education,21
Fundacao Para a Ciencia e a Tecnologia I.P.,Government,21
Aalto University,Education,21
Massachusetts Institute of Technology,Education,20
Korean Education Network,Education,20
NTU,Education,20
University of California Los Angeles,Education,19
Columbia University,Education,18
The University of Edinburgh,Education,18
University of Warwick,Education,18
Georgia Department of Education,Education,17
Princeton University,Education,17
Oxford University,Education,17
Universiteit van Amsterdam,Education,17
The University of Hong Kong,Education,17
Moec,Government,17
University of Wisconsin Madison,Education,16
University of Washington,Education,16
University of Toronto,Education,16
University of North Carolina at Chapel Hill,Education,16
The Hong Kong Polytechnic University,Education,16
Ohio State University,Education,14
University of Pennsylvania,Education,14
Georgia Institute of Technology,Education,14
Yale University,Education,14
Duke University,Education,14
University of California Irvine,Education,14
Seoul National University,Education,14
City University of Hong Kong,Education,14
Cornell University,Education,13
University of Michigan,Education,13
Korea Advanced Institute of Science and Technology,Education,13
Universitaet Bremen,Education,13
Palo Alto Networks Inc,Commercial,13
Amazon Corporate LLC,Commercial,13
Erasmus Universiteit Rotterdam,Education,13
Northwestern University,Education,12
Brown University,Education,12
The Pennsylvania State University,Education,12
University of California San Diego,Education,12
Denison University,Education,12
Bryant University,Education,12
Aofei Data International Company Limited,Commercial,12
Montgomery County Public Schools,Education,11
University of Illinois,Education,11
University of California Santa Barbara,Education,11
University of Durham,Education,11
University of Southern California,Education,11
University of Oregon,Education,11
Claremont University Consortium,Education,11
Universiteit Utrecht,Education,11
Consortium GARR,Education,11
Simon Fraser University,Education,10
University of Sheffield,Education,10
Northeastern University,Education,10
Danmarks Tekniske Universitet,Education,10
Brigham Young University,Education,10
University College Dublin,Education,10
Rice University,Education,10
University of Notre Dame,Education,10
University of North Texas,Education,10
Oakland Schools,Education,10
Norwegian University of Science and Technology,Education,10
Royal Melbourne Institute of Technology,Education,10
University of Wollongong,Education,10
University of Oxford,Education,10
Fastbee Argentina S.A.,Commercial,10
Delft University of Technology Network,Education,9
University of Cambridge,Education,9
University of New South Wales,Education,9
University of Virginia,Education,9
University of Mary Washington,Education,9
Universitaet Hamburg Campus Net,Education,9
Education Service Center Region,Education,9
Korea University,Education,9
Monash University,Education,9
Hochschule Rheinmain University of Applied Sciences Wiesbaden Ruesselsheim Geisenheim,Education,9
Community Fibre Limited,Commercial,9
Friedrich-Alexander-Universitaet Erlangen-Nuernberg,Education,9
Crowne Plaza Dallas,Commercial,9
Indiana University,Education,8
Technische Universiteit Eindhoven,Education,8
Drexel University,Education,8
University of Leeds,Education,8
University of British Columbia,Education,8
University of Georgia,Education,8
Harvard University,Education,8
"King's College London",Education,8
Imperial College London,Education,8
Universitaet Stuttgart,Education,8
Freie Universitaet Berlin,Education,8
University of Technology Sydney,Education,8
University of Newcastle Australia - Callaghan Campus,Education,8
Old Dominion University,Education,8
Universitaire Instelling Antwerpen - Campus Net,Education,8
Celanese International Corporation,Commercial,8
